structure,actor_type,service_domains,service_gbv_type,target_groups,coverage_level,coverage_geo,departement(s),commune,strengths,gaps,responsable,phone,email,address,latitude,longitude,source_section
Service Régional de l'Action Sociale (SRAS),Service étatique,Promotion de l’inclusion scolaire; Identification et prise en charge des enfants en situation de handicap et de vulnérabilité; Accompagnement à la scolarisation et au maintien à l’école; Protection des droits des personnes handicapées; Insertion sociosanitaire et économique des groupes vulnérables,Protection; Orientation/Référencement; Inclusion,Personnes en situation de handicap; Personnes âgées; Enfants orphelins; Populations vulnérables,Régional,Toute la région (Kolda),Kolda,,Maillage du territoire régional; Très bonnes relations avec les autorités; Ancrage communautaire; Ressources humaines de qualité,Manque de ressources humaines; Vétusté des locaux; Faiblesse du budget alloué; Instabilité institutionnelle (changements de tutelle),Modou ANE (Directeur régional) / Abdoulaye Kaltoum KAMARA (Kolda) / Seydou Samba GADJIGO (MYF),77 369 68 69; 77 645 89 16; 77 609 49 34,sraskld@yahoo.fr; kalzo2000@yahoo.fr; seydoug50@gmail.com,Bloc Administratif Bouna Kane,,,Services étatiques
AEMO (Action Éducative en Milieu Ouvert),Service étatique,Protection des enfants en danger ou en conflit avec la loi; Accompagnement des mineurs et familles sans placement; Prévention maltraitance/négligence/déviance; Soutien parentalité; Suivi éducatif,Protection; Médiation; Gestion de cas,Enfants,Départemental (coordination),Kolda (coordination) + appui Vélingara & Médina Yoro Foulah,Vélingara; Médina Yoro Foulah; Kolda,,Ancrage communautaire; Force de dissuasion; Force de persuasion; Force de médiation,Déficit logistique de déplacement; Manque de ressources humaines,Ansou Boroko MANE,77 438 40 59,koldaaemo@gmail.com,Immeuble Doura Baldé (au RDC),,,Services étatiques
Centre Conseil Ado (CCA) — CDEPS Kolda,Service étatique,Promotion SSR adolescents/jeunes; Prévention grossesses précoces/non désirées; Prévention IST/VIH; Accueil/Information/Counseling/Orientation; Dépistage VIH; Distribution contraceptifs; Mobilisation communautaire/CCC; Formation & autonomisation des jeunes (filles),Prévention; Orientation/Référencement; SSR,Adolescent.e.s et jeunes (10–24 ans),Départemental,Département de Kolda,Kolda,,"Dispositif communautaire dynamique (clubs jeunes filles, pairs éducateurs, clubs garçons INFOP); RH de qualité; Sages-femmes disponibles (financement PTF)",Absence de sages-femmes en permanence (financement); Pénurie médicaments; Insuffisance logistique (motos),Babacar Sy (Coordonnateur),77 523 25 32,ndioungue01@yahoo.fr,CDEPS Kolda,,,Services étatiques
Service Départemental de la Famille et des Solidarités,Service étatique,Promotion des droits des filles et des femmes; Promotion de l’autonomie des femmes; Protection des enfants contre l’exploitation et la maltraitance; Appui PEC survivantes (consortium),Protection; Coordination/Référencement; Autonomisation; Prévention,Population générale (surtout vulnérabilités),Régional,Toute la région,Kolda; Vélingara; Médina Yoro Foulah,,RH compétentes; Réseau de coopération; Membre consortium PEC survivantes; Bonne compréhension enjeux; Relations de travail (CCA/Clubs/pairs éducateurs),Non-existence de centre d’hébergement holistique; Insuffisance renforcement acteurs judiciaires; Manque logistique; Difficultés couverture zones enclavées,Awa DIOP (Cheffe de service départemental),77 538 46 49,,Immeuble Doura Baldé (2ème Etage),,,Services étatiques
Bureau genre de l’IEF,Service étatique,Intégration du genre dans la gestion du système éducatif; Prévention VBG en milieu scolaire; Promotion équité/inclusion & maintien des filles; Sensibilisation/accompagnement établissements; Environnement scolaire sûr et sensible au genre,Prévention; Protection; Éducation,Élèves,Départemental,Département de Kolda,Kolda,,Accompagnement maintien à l’école (filles); Suivi du parcours scolaire; Protection des élèves,Manque de ressources financières,Maimouna KANDE (Bureau genre IEF / SCOFI),77 526 97 63,mounasskande75@gmail.com,En face Société Générale Sénégal (SGS) Kolda,,,Services étatiques
Inspection Médicale des Écoles (IME),Service étatique,Prévention/promotion santé (incl. VBG) en milieu scolaire; Formation enseignants; Sensibilisation élèves; Accompagnement élèves victimes; PEC médicale & orientation; Appui médicaments; Médiation (mariages d’enfants); Suivi/réinsertion scolaire,Prévention; Médical; Orientation/Référencement; Protection,Élèves (principal); Enseignant.e.s (secondaire),Régional,Toute la région,Kolda; Vélingara; Médina Yoro Foulah,,Appui partenaires; Légitimité institutionnelle (Inspection d’Académie),Insuffisance RH (ex. pas de sage-femme); Contraintes logistiques; Ressources financières limitées,Djiby Guissé (Coordonnateur),77 555 56 70,djiby.guisse1@education.sn,DRS Kolda / Centre de santé Kolda,,,Services étatiques
Centre de santé Kolda (Bureau genre),Service étatique,Intégration genre dans l’offre de soins; Prévention/identification/PEC VBG; Accueil/écoute/orientation; Promotion SSR sensible au genre,Prévention; Médical; Orientation/Référencement,Population (toute catégorie),Régional,Toute la région,Kolda; Vélingara; Médina Yoro Foulah,,Point focal genre; Circuit PEC; Formation acteurs communautaires,Manque logistique déplacements; Manque de suivi acteurs communautaires formés,Mahamany SOUANE (Responsable genre),77 105 58 57,mahamadysouan@yahoo.ca,Centre de santé Kolda,,,Services étatiques
CEDAF,Service étatique / Centre,Assistance femmes/filles survivantes; Formation & autonomisation; Coaching; Mise en réseau; Formation professionnelle; Autonomisation économique; Plaidoyer; Insertion socio-économique,Psychosocial; Autonomisation; Référencement; Plaidoyer,Femmes et filles,Régional,Toute la région,Kolda; Vélingara; Médina Yoro Foulah,,Écoute/accueil; Expertise travail social; Réseautage; Proximité terrain; Collaboration CFP,Insuffisance personnel; Manque moyens financiers; Couverture limitée zones enclavées; Faible appui post-formation; Difficultés financement formations,Danielle BASSENE (Directrice),77 559 59 93,,Saré Kemo,,,Services étatiques
"CAOSP (Centre d’Accueil, d’Orientation et de Suivi Psychosocial) — Kolda",Service étatique / Centre,Prise en charge psychologique; Soutien post-traumatique; Accompagnement complémentaire aux volets médical et juridique,Psychosocial; Orientation/Référencement,Élèves; Survivant.e.s VBG; Adolescents; Femmes; Hommes victimes,Régional,Toute la région,Kolda; Vélingara; Médina Yoro Foulah,,Équipe dynamique; Bonne organisation; Collaboration avec autres structures,Faible visibilité cas non déclarés; Lenteur processus; Chevauchement d’activités,Christian SAGNA (Adjoint Directeur),33 996 13 45,sagnac02@gmail.com; sagnachristian@hotmail.fr; crospkolda@yahoo.fr,Subdivision des Travaux Publics — Quartier Sikilo,,,Services étatiques
ARD (Agence Régionale de Développement) — Kolda,Service étatique,Accompagnement femmes victimes VBG; Autonomisation; Santé publique; Action sociale; Environnement/gestion ressources naturelles,Autonomisation; Orientation/Référencement; Protection,Femmes; Jeunes filles; Survivantes; Garçons (parfois),Régional,Toute la région,Kolda; Vélingara; Médina Yoro Foulah,,Légitimité institutionnelle; Compétences techniques; Collaboration collectivités; Relations avec ONG,Dépendance vis-à-vis des partenaires,Sada Baldé (Directeur) / Mme WELE (Secrétaire),77 524 83 62,ardkolda1@gmail.com; mmewele2003@yafoo.fr,Saré Moussa Barrage,,,Services étatiques
